preferred_canonical	merged_from	before_daf_count	after_daf_count
Hashgacha (supervision/oversight)	Hashgacha (rabbinic supervision); Hashgacha (supervision/certification — modern context); Hashgacha (supervision/standards)	1	4
Hashgacha Pratit (divine providence)	Hashgacha Pratit (divine plan); Hashacha Pratit (individual divine providence)	1	3
Hashrasha (taking root)	Hashrashah (sprouting/taking root)	1	3
Hatara (annulment by sage)	Hatara vs. Hafara (annulment vs. violation)	1	2
Hatarat Nedarim (annulment of vows)	Hatarat nedarim (annulment of vows); Hatarat Nedarim (vow annulment); Hattarat Nedarim (annulment of vows)	20	24
Hatmana (insulation)	Hatmana (insulation) in Shabbat	0	1
Hatra'ah (warning)	Hatra'ah (warning requirement); Hatra'ah (warning) in defining separate violations; Hatra'ah in lashes (warning requirement for lashes); Hatra'ah in separate transgressions (warning and distinct violations)	8	12
Hatrah (judicial warning)	Hatrah (formal warning before execution); Hatrah (prior warning); Hatrah (warning about consequences); Hatrah (warning before crime); Hatrah (warning in court)	1	7
Hatzalah (rescue)	Hatzalah Metzuyah (common rescue scenario); Hatzalah Porta (small rescue)	2	4
Havdalah (separation)	Havdalah in bird offering (separation of bird offering head); Havdalah in wine (separation blessing over wine)	16	18
Havla'ah (absorption into primary purchase)	Havla'ah in wages (wage aggregation for Shabbat payment)	2	3
Hayom (today - hermeneutic principle)	Hayom (today)	1	2
Haza'ah (sprinkling)	Haza'ah in parah adumah (sprinkling red heifer ashes); Haza'ot (sprinklings); Hazah (sprinkling of Parah water); Hazaya (sprinkling blood)	9	16
Hazakah (possession/presumption)	Hazakah (possession); Hazakah (presumption)	0	7
Hazama (refutation of witnesses)	Hazama mei'alma (refutation from external source)	7	8
Hazarat HaDam (sprinkling of blood)	Hazarat Hashatz (cantor's repetition of Amidah)	1	2
He'elam (forgetting/concealment)	He'alem (lapse of awareness); He'elem (concealment of knowledge)	0	2
He'elam davar (concealment of matter/mistaken ruling)	He'elam davar (mistaken ruling)	0	1
He'ir pnei kol hamizrach (daybreak illuminates the east)	He'ir mizrach matir (daybreak permits)	1	2
Healing (refuah)	Healing (refuah) and grinding spices; Healing (refuah) on Shabbat	13	16
Hechsher (susceptibility to tumah)	Hechsher (susceptibility to impurity)	6	11
Hefsek (interruption)	Hefsek (break)	9	10
Heichal (inner sanctuary)	Heichal (Holy Chamber); Heichal (inner sanctum); Heichal (Temple Hall)	16	23
Hekdesh (consecrated property)	Hekdesh (sanctified property); Hekdesh (temple treasury)	87	89
Hekdesh ta'us (mistaken consecration)	Hekdesh B'Taaut (consecration in error)	1	4
Hekdesh/Sanctification	Hekdesh/Mikvash (sanctified items)	1	2
Hekesh (textual analogy)	Heikesh (analogy)	12	15
Heksha (linking verses)	Henah henah (link via parallel verses)	1	2
Heresy and idolatry	Heresy and apostasy	1	2
Hermeneutic principles	Hermeneutic principle of rabbi; Hermeneutical principle of repetition	1	3
Hesped (eulogy)	Hesped in prohibition (eulogy prohibition)	10	11
Heter (permissibility)	Heter Achila (permission to eat); Heter Horaah (permission to rule); Heter Shechita (permission to slaughter); Heter Zerika (permissible tossing)	3	8
Hezek Re'iyah (damage from overlooking)	Hezek Re'iyah (visual damage/privacy harm)	2	10
Hi/Hu (limiting word)	Hi (exclusionary word in verse)	1	2
Hiddur (beautification)	Hiddur Mitzvah (beautifying a commandment); Hidur (qualified deference)	1	4
Hifsek Hadaat (breaking concentration)	Hessech Hadaat (distraction from eating intent); Hesach Hadaat (loss of concentration)	1	11
Hilchata (established halakha; practice-based ruling)	Hilcheta (final halakha) regarding first sex on Shabbat—mutar; Hilcheta (legal ruling); Hilcheta Ke-Rabbi Yochanan (halacha follows Rabbi Yochanan)	1	8
Hillel HaZaken	Hillel	1	15
Hirhur (lustful thought)	Hirhurim (lustful thoughts)	4	7
Hirhur Aveira (sexual thoughts)	Hirhurim (improper thoughts)	1	2
Hirhurei halev (thoughts of the heart)	Hirhurei ha-leiv (thoughts of the heart)	1	2
Hishtachava (prostration/bowing)	Hishtachavaya (prostration)	11	12
Hoda'ah (acknowledgment; confession)	Hoda'ah (admission)	1	12
Hoda'at Ba'al Din (admission of a litigant)	Hoda'at Ba'al Din (admission of litigant)	3	4
Hogeh et HaShem b'Osiyosav (articulating God's name)	Hogeh et HaShem B'Osyosov (articulating God's name letter by letter)	1	2
Holchin Achar Harishon (following the first)	Holchin Achar Leshon Bnei Adam (following common speech)	1	2
Holod Holech Achar HaZachar (child follows father)	Holod Holech Achar HaPagum (child follows disqualification)	1	2
Hora'ah (authoritative ruling)	Horaat Beis Din (court ruling)	10	11
Hoshana Rabba (seventh day of Sukkot)	Hoshana (Sukkot palm branch)	4	6
Hotza'ah (carrying out)	Hotza'ah (carrying) in Shabbat	9	13
Hotza'at HaDeshen (ash removal)	Hotzi (took out)	2	3
Huchshar (made susceptible to impurity)	Huchsharu (made susceptible to impurity)	1	2
Huchzak kafran (proven liar)	Huchzak Kafran (established as a denier)	1	4
Hukaf L'Dira (enclosed for habitation)	Hukaf Ledira (enclosed for habitation)	4	5
Hukshra (preparation of food for tumah through liquids)	Hukshrah (making susceptible to tumah via liquid contact)	1	2
Humility (anavah)	Humility and lack of arrogance	2	3
Husband inherits wife	Husband inheritance from wife (baal)	1	2
Hutar Echad Hutruh Kullan (one released, all released)	Hutar Echad Meihen Hutar L'Kulan	1	2
Hutar Miktzato Hutar Kulo (permitted in part, permitted wholly)	Hutar miklalo (became permissible from its general status)	2	3
Hutrah (complete exemption)	Hutra (no violation)	1	3
Hymen (dam besulim)	Hymen; Hymen (ta'anat besulim physical)	1	3
Ibbur (intercalation of the year)	Ibbur Hashana (intercalation of the year)	9	10
Idis (grade A land)	Idit (grade A land)	2	4
Ikar (main ingredient)	Ikkar (primary component)	1	2
Ikar and Tafel (primary and secondary)	Ikkar and Tafel (primary and secondary)	3	4
Ikkur (uprooting)	Ikur (uprooting without shechita)	1	2
Ikkur Ha-Simanim (uprooting identifying marks)	Ikur Simanim (uprooting identifying marks)	1	2
Ilanit (woman who never reaches puberty)	Illanit (barren woman); Ilonit (barren woman)	1	3
Ilem (mute but hearing)	Ileim (mute person)	1	2
Im Gmar Mita (at moment of death)	Im Gmar Mita vs. L'Achar Gmar Mita (at moment of death vs. after moment of death)	1	2
Immersion in Mikvah (ritual immersion requirement)	Immersion in Mikvah (Hitbila) in quasi-Jewish status	1	2
Impurity rules in Terumah	Impurity affecting food in Terumah; Impurity concerns in Terumah	1	3
Infant graves (nefili)	Infant and fetal burials at intersection points (nefili)	1	2
Inheritance (nachala)	Inheritance (Ganav Mishel Aviv)	1	2
Inheritance Division	Inheritance and property division	1	2
Inner chatas versus outer chatas	Inner Chatat versus Outer Chatat; Inner versus Outer Chatas	1	3
Inner Sin-Offering (chatas pnimit)	Inner chatas (sin-offering brought inside); Inner chatas of high priest or Yom Kippur; Inner chatas of Kohen Gadol	1	4
Innocent speech (masiach lefi tumo)	Innocent Motive (metali)	1	2
Intent (kavana)	Intent/Kavana requirements; Intent/Intention (machshava, tachlit); Intention/Kavana; Intention/Kavanah	1	5
Intention versus Accident	Intentional versus unintentional; Intentional versus Unintentional; Intentional vs. unintentional action	1	5
Interest prohibition (ribbis)	Interest Money (ribbit)	1	2
Intermarriage with non-Jewish women	Intermarriage concerns	1	3
Intermediary Avodot (intermediate services)	Interim Avodah	1	2
Interruption of service (avodah interrupted)	Interrupting prayer	1	2
Inui Nefesh (affliction of the soul)	Inui (suffering/humiliation); Inuy (affliction/fasting); Inuyim (afflictions)	8	13
Ir (city)	Ir (town)	2	3
Ir HaNidachat (city that turned to idolatry)	Ir Hanidachat (apostate city); Ir Hanidachat (condemned city)	15	17
Ir'ur (rumor/challenge of status)	Ir'er (challenge)	1	2
Irur (challenge to a get)	Irui (pouring hot liquid)	1	3
Isaac and Rivka's infertility	Isaac and Rivka	1	2
Ish Ish (each person)	Ish Ish (each man); Ish Ish (any person)	1	3
Isha (woman/wife)	Isha (woman)	1	3
Iskofah (threshold)	Iskofa (porch); Iskupa (porch)	1	3
Issur (halachic prohibition)	Issur (prohibition)	1	11
Issur Bas Achas (simultaneous prohibitions)	Issur Bas Achas	1	2
Issur Mosif (expanding prohibition)	Issur Mosif (broader-scope prohibition)	1	11
Issurei Hana'ah (prohibitions on deriving benefit)	Issurei Hana'ah (objects of forbidden benefit); Issurei Hana'ah (prohibitions of benefit)	9	16
Isur Chal Al Isur (no double prohibition)	Issur Chal Al Issur (multiple prohibitions); Issur Chal al Issur (layering of prohibitions)	1	15
Isur Kedushah (prohibition of holiness)	Issur Kedusha (prohibition from sanctity)	1	3
Isur Mitzvah (prohibition on a commandment)	Issur Mitzvah (prohibition from commandment)	1	2
Iyver (blind)	Iver (blindness)	1	2
Jacob (Yaakov)	Jacob	5	10
Jew vs. non-Jew distinction	Jewish vs. non-Jewish population distinction	1	2
Job	Job (Iyov)	0	1
Jonah	Jonah (Yonah)	0	2
Jordan	Jordan (Yarden)	0	4
Joseph	Joseph (Yosef)	0	1
Joshua	Joshua (Yehoshua)	2	7
Judea	Judea (Yehuda)	0	2
Kabbalah (consignment)	Kabala (collection of blood)	1	24
Kabbalat mitzvot (acceptance of commandments)	Kabbalat Mitzvot (acceptance of commandments)	1	6
Kablanut (contracting)	Kablanut (contractor work)	2	3
Kaf (ladle for incense)	Kaf (fire pan)	1	2
Kafrsin (shell or buds of caper)	Kafrsin (capers)	1	2
Kahal (Jewish community)	Kahal (community entity); Kahal (congregation/tribe)	1	3
Kakah (thus/exactly like this)	Kacha (thus/so)	1	2
Kal Va-Chomer (a fortiori argument)	Kal v'chomer (inference from light to heavy); Kal vachomer (a fortiori argument); Kal VaChomer (a fortiori argument)	1	155
Kala (rumor)	Kala d'lo pasik (rumor that does not cease); Kala d'pasik (rumor that ceases)	1	3
Kallah (bride)	Kalla (community teaching session)	2	3
Kamatz (handful)	Kamitza (handful of mincha offering)	1	2
Kameia (amulet)	Kamia (amulet pouch)	1	2
Kamtza and Bar Kamtza	Kamtza	1	2
Kanah (trachea)	Kanah and Veshet (trachea and esophagus)	2	7
Kapara (atonement)	Kapparah (atonement)	22	34
Kara v'Daysa (squash and porridge)	Kara Al Peh Lo Yatza (reading orally without a scroll does not fulfill the obligation)	1	2
Karcha (bald spot in the land)	Karachas (bald spot in vineyard); Karachas Hakerem (bald spot in vineyard)	1	3
Karet (divine excision)	Karet (excision)	3	78
Karka (land)	Karka (land/permanence and ground attachment)	34	35
Karka Nigzelet vs. Karka Einah Nigzelet (whether land can be stolen)	Karka Einah Nigzelet (land cannot be stolen)	1	4
Karmelis (semi-public domain)	Karmelit (intermediate domain)	3	24
Karov (relative)	Karov (proximity)	10	14
Karpef (enclosed space)	Karpaf (enclosed yard); Karpaf (enclosed field)	5	8
Karut Shofcha (emasculation/sterility)	Karut shafcha (severed seminal duct)	1	2
Kashering methods (Hagala, fire, cleaning)	Kashering vessels (fire or water)	1	2
Kashya (difficulty/objection in Gemara)	Kashya (difficulty)	1	4
Katafres (incline)	Katafres (angled downward flow)	1	2
Katanah (minor girl)	Katana (minor girl)	1	3
Katzatz (fixed price agreement)	Katzatz (fixed wages); Katzatz damim (fixed price agreement)	1	3
Kavana (intention)	Kavana in cooking (intention); Kavana in libation (intention for libation); Kavana in mitzvot (intention in commandments); Kavana in prayer (intention); Kavana in ritual obligations (intention requirement); Kavana in service (intentionality); Kavana in shechita (intention in ritual slaughter); Kavana in Shema (intention)	40	49
Kavsah Ein Zakuk Lah (if lamp extinguishes, no obligation to relight)	Kavsah Zakuk Lah (if lamp extinguishes, obligation to relight)	1	2
Kavush (pickled)	Kavush (under control)	1	2
Ke-Adasha (lentil-sized measure)	Ke-Adasha in sheratzim (lentil measure for creeping things)	2	3
Ke-volo Kach Polto (as it absorbs so it releases)	Kebolo Kach Polto (as absorbed, so expelled)	1	2
Kedusha (holiness)	Kedusha (sanctification); Kedusha (sanctification; holiness); Kedusha (sanctity)	19	74
Kedusha Rishona (first sanctification)	Kedusha Rishonah (first sanctity)	4	5
Kedusha Rishona vs. Kedusha Shniya (first vs. second sanctification)	Kedusha Rishonah vs. Kedusha Shniyah	1	2
Kedushat Eretz Yisrael (sanctity of the Land of Israel)	Kedusha of Eretz Yisrael (holiness of the land of Israel)	4	6
Kedushat Yerushalayim (sanctity of Jerusalem)	Kedusha of Jerusalem vs. the Temple	1	2
Kefel (double payment)	Kefel in theft (double payment)	18	20
Keilim (vessels)	Keilim (temple vessels); Keli (vessel)	11	13
Keli sharet (holy vessel)	Keli Sharet (service vessels)	1	2
Kemitza (handful taken from Mincha)	Kemitza (handful of meal offering)	13	16
Kena'anit (Canaanite woman)	Kena'ani (Canaanite)	1	2
Kerem (vineyard) and Kilayim	Kerem (intentional damage)	1	2
Keren (horn of altar)	Keren HaMizbeach (horn of altar)	3	4
Keren (principal)	Keren (goring)	14	27
Keren vs. half-damages (tam vs. muad)	Keren vs. Shen v'Regel (half vs. full damages)	1	2
Keriah (rending of garments)	Keritah (rending of garments)	9	10
Kermi Yavneh (vineyard of Yavneh)	Kerem B'Yavne (rabbinic academy)	1	5
Keruvim (cherubim)	Kerub (cherub); Keruvim (cherubim) intertwined	6	8
Kesef (money/silver)	Kessef (silver/money)	0	1
Kesef as kinyan (money as mode of acquisition)	Kesef and Shtar as kinyan (money and document as modes of acquisition)	1	2
Kesef in kiddushin (money as mode of betrothal)	Kesef Kiddushin (money for betrothal)	1	8
Kesem (bloodstain)	Ketam (stain); Ketem (stain); Ketem (stain) tumah; Ketem (stain) vs. Dam (blood)	4	10
Kesher (knot)	Kesher (tying knots)	4	5
Kesher (valid)	Kesher (valid as sacrifice); Kesherah (valid)	2	5
Ketamim (stains)	Ketamim (stains on clothing)	1	4
Ketanah (minor girl)	Ketanah (minor girl) and postponement rights; Ketanah (minor girl) redo requirement; Ketanah (minor girl) without father's knowledge	29	32
Ketav (writing)	Ketab (writing/document); Ketav (written evidence)	2	4
Ketores (incense)	Ketora (incense) and speech effects; Ketoret (incense); Ketoret (incense) and its fire; Ketoret (incense) fragrance reach; Ketoret (incense) special case; Ketoret (incense) without mizbeach; Ketoreth (incense)	1	36
Ketubah (marriage contract)	Kesubah (marriage contract)	104	115
Ketubah as biblical obligation	Ketubah de'oraita (Torah obligation)	0	1
Ketubah as rabbinic institution	Ketubah as Rabbinic institution; Ketubah as rabbinic obligation	0	2
Ketubah collection and rights	Ketubah collection by widow or heirs; Ketubah collection cases; Ketubah collection rights	0	3
Ketubah lien	Ketubah lien on property	4	5
Ketubat Benin Dichrin (sons' inheritance from ketubah)	Ketuvat Benin Dichrin (dowry law for sons)	2	3
Ketubim (Writings)	Ketuvah within ketuvim (scroll arrangement)	2	3
Ketzitza (cutting)	Ketzitzah (cutting)	1	2
Keva (fixed/permanent)	Kevua (fixed time)	2	3
Kever (grave)	Kever grave/womb metaphor	2	3
Kevesh (ramp to altar)	Kevesh (ramp)	1	7
Keviat Seuda (fixed meal)	Keviat Seuda (establishing a meal)	1	2
Kevod (honor): intrinsic vs. extrinsic	Kevod (respect)	1	2
Kevod Hamet (dignity of the dead)	Kevod Hameis (dignity of the dead)	1	4
Kevurah (burial)	Kevura (burial)	2	3
Kezayit (olive-sized measure)	Kezayit (minimum measure); Kezayit b'chedei achilat pras (olive-sized measure in time of eating); Kezayit in eating (olive-sized measure)	63	66
Kfisim (half-bricks)	Kfisin (half-bricks)	1	2
Ki tavo (when you enter the land)	Ki tavo (when you come)	1	2
Ki yasir bincha (your son led astray)	Ki yasir et bincha (your son led astray)	1	3
Kibbud av va'em (honoring parents)	Kibud av v'em (honor of parents)	15	16
Kibbul (receptacle)	Kibul (acceptance)	1	2
Kibbuy (extinguishing)	Kibui (extinguishing fire); Kibuy (extinguishing fire)	1	4
Kiblu aleihu (acceptance of authority)	Kiblu Aleihu (acceptance)	1	2
Kibud habriyot (human dignity)	Kibbud (respect in halacha)	1	2
Kiddush Ha-Chodesh	Kiddush Hachodesh (sanctification of month)	14	15
Kiddush Kli (vessel sanctification)	Kidush Kli (sanctification of vessel)	1	2
Kiddush Yadayim ve-Raglayim (hand and foot washing)	Kidush Yadayim Veraglayim (hand and foot washing)	5	6
Kiddushin (betrothal)	Kiddushin (betrothal/marriage)	46	92
Kiddushin and Nisuin (betrothal and marriage)	Kiddushin/Nisuin (betrothal/marriage)	2	3
Kiddushin via Bia (betrothal through intercourse)	Kiddushei Biah (betrothal through sexual intercourse)	1	8
Kiddushin vs. Nisuin (betrothal vs. marriage)	Kiddushin versus Nisuin	3	4
Kiddushin with Shtar (marriage via document)	Kiddushei Shtar (betrothal through document)	1	2
Kikar (loaf)	Kikar (loaf of bread) and benefit theory	2	3
Kilalas Elokim Taluy	Kilelat Elohim Taluy (curse of God is hanging)	1	2
Kilayim (forbidden mixture)	Kilayim (mixed kinds)	60	61
Kilayim ha-Kerem (forbidden vineyard mixtures)	Kilayim in vineyard	2	3
Kilkul (damage)	Kilkul (damage to land)	2	4
Kim lei b'deraba minei (greater penalty overrides lesser)	Kim leih bid'raba minei (one matter overwhelms another)	5	6
Kina (funeral dirge)	Kina (dirge)	1	2
Kineged (corresponding to)	Kineged (opposite; aligned with)	1	2
Kinei yoledes (birds of a woman in childbirth)	Kinim (bird sacrifices)	1	9
King's Road	King's Highway (Derech HaMelech)	1	2
Kinui (warning)	Kinuy (warning)	1	3
Kinui and Sitrah in Sotah	Kinui in Sotah; Kinuy and Sitrah	3	8
Kinyan (legal acquisition)	Kinyan (acquisition)	0	78
Kinyan Chalifin (acquisition by exchange)	Kinyan chalipin (formal acquisition)	5	6
Kinyan Chatzer (acquisition through property)	Kinyan Chatzer (acquisition through possession in a domain); Kinyan chatzer (acquisition through property)	1	11
